absolute_iqr,absolute_maximum,absolute_mean,absolute_median,absolute_minimum,bootstrap_mean,ci95_high,ci95_low,holm_adjusted_p,method_a,method_b,metric,negative_pairs,paired_n,paired_wilcoxon_p,positive_pairs,relative_mean,zero_pairs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C3,C0,complete_recovery,0,50,1.0,0,0.0,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C3,C0,payload_correct_fraction,0,49,1.0,0,0.0,49
0.0005188283264376259,-0.0002576902320561847,-0.0012163733995127083,-0.001253522815854169,-0.0019023205612520022,-0.0012163733995127083,-0.0011129251394747454,-0.0013186442007995906,7.105427357601002e-14,C3,C0,raw_ber,49,49,3.552713678800501e-15,0,-0.0039405363390036165,0
,,,,,,,,,C3,C0,reconstruction_psnr,0,0,,0,,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C3,C0,reconstruction_ssim,0,49,1.0,0,0.0,49
0.40369936363379777,0.7926415209666926,-0.08888183620810061,-0.061901422466447587,-1.2940946893666476,-0.08888183620810061,0.03027215163157181,-0.2142967661695153,1.0,C3,C0,runtime_seconds,27,49,0.4353330401961557,22,-0.020642985252236887,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C3,C3_NP,complete_recovery,0,50,1.0,0,0.0,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C3,C3_NP,payload_correct_fraction,0,49,1.0,0,0.0,49
0.0005012892006956426,0.0008487737602686507,-0.00010439649866062732,-8.349823109676802e-05,-0.0010412544222582198,-0.00010439649866062732,-4.166651370023374e-06,-0.00020548005134776278,0.6106591186876642,C3,C3_NP,raw_ber,29,49,0.06106591186876642,20,-0.00033800028792333944,0
,,,,,,,,,C3,C3_NP,reconstruction_psnr,0,0,,0,,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C3,C3_NP,reconstruction_ssim,0,49,1.0,0,0.0,49
0.7171599795332442,1.1212333154666334,-0.007481520811516297,-0.04437673160021749,-0.7659058094333284,-0.007481520811516297,0.13041383874414209,-0.1403658053092504,1.0,C3,C3_NP,runtime_seconds,25,49,0.6932526045224776,24,0.014817197124921478,0
0.0,0.0,-0.002,0.0,-0.1,-0.002,0.0,-0.006000000000000001,1.0,C3,B1,complete_recovery,1,50,0.31731050786291415,0,-0.02,49
0.005112457275390669,-0.5995780944824219,-0.6055045666337825,-0.6042086283365885,-0.6264333089192708,-0.6055045666337825,-0.6041225541043445,-0.6070953698709708,1.3318009333234253e-08,C3,B1,payload_correct_fraction,49,49,1.1098341111028545e-09,0,-0.8582492991866989,0
0.005623464102280984,0.03540749492394796,0.01285622289261623,0.012035515781729011,0.005840902724783215,0.01285622289261623,0.01448270396968113,0.011383804526767616,7.105427357601002e-14,C3,B1,raw_ber,0,49,3.552713678800501e-15,49,0.044008111350943936,0
,,,,,,,,,C3,B1,reconstruction_psnr,0,0,,0,,0
0.03327986209903844,0.7651452314604864,0.694220466244919,0.6914435198336107,0.658838734080246,0.694220466244919,0.7007087829230505,0.6879177547836468,7.105427357601002e-14,C3,B1,reconstruction_ssim,0,49,3.552713678800501e-15,49,2.290140428720444,0
0.6158820053996656,3.0859504389663317,2.2208523077455924,2.058618789567057,1.765880863900202,2.2208523077455924,2.3286675739331275,2.1170986885640017,7.105427357601002e-14,C3,B1,runtime_seconds,0,49,3.552713678800501e-15,49,233.28779714863256,0
0.1,0.1,0.034,0.0,0.0,0.034,0.048,0.022000000000000002,0.0004111780024187169,C3,B2,complete_recovery,0,50,3.737981840170154e-05,17,0.0,33
0.011036300659179599,-0.493878428141276,-0.5102361440658569,-0.5097081502278646,-0.5366004943847656,-0.5102361440658569,-0.5070901401837667,-0.5136809092760086,7.450580596923828e-09,C3,B2,payload_correct_fraction,32,32,4.656612873077393e-10,0,-0.8360912140148367,0
0.010453132324712844,-0.05442531961055724,-0.08217120400334016,-0.08156539261423296,-0.10006127924014746,-0.08217120400334016,-0.07868851843848534,-0.08536141955242059,7.450580596923828e-09,C3,B2,raw_ber,32,32,4.656612873077393e-10,0,-0.21035421657607992,0
,,,,,,,,,C3,B2,reconstruction_psnr,0,0,,0,,0
0.021998420294844,0.8819444804470464,0.8471094005759163,0.8459957850813435,0.8137149870838332,0.8471094005759163,0.8523687047284022,0.8419143992996743,7.450580596923828e-09,C3,B2,reconstruction_ssim,0,32,4.656612873077393e-10,32,5.605511994175359,0
0.5355446733080189,2.9084227458666647,2.168326530548967,2.0496746977832725,1.7785957569662054,2.168326530548967,2.285123459885281,2.057577277581661,7.450580596923828e-09,C3,B2,runtime_seconds,0,32,4.656612873077393e-10,32,149.40525189272665,0
