base_ber,base_correct_fraction,complete_recovery,condition_count,cover_stego_psnr,cover_stego_ssim,detail_ber,detail_correct_fraction,method,observation_count,operational_failure_count,pair_id,payload_correct_fraction,peak_memory_bytes,raw_ber,raw_secret_correct_fraction,reconstruction_ncc,reconstruction_psnr,reconstruction_ssim,runtime_seconds,unknown_bit_fraction,valid_base_only_recovery
,,0.1,10,45.87538335445845,0.9851358738552894,,,B1,22,0,coco-000000019924-000000414510,0.7124834696451824,155970355.20000002,0.2875165303548178,0.7124834696451824,0.8806516079851464,13.777981134035421,0.33465121390978536,0.007181628100018619,0.0,
,,0.0,10,,,,,B2,22,0,coco-000000019924-000000414510,,156708727.4666667,,,,,,,,
0.0,0.1,0.1,10,45.000009005482426,0.980379541377785,0.0,0.1,C0,22,0,coco-000000019924-000000414510,0.1,156350190.93333334,0.30759519098159144,1.0,1.0,,1.0,2.1211798689000108,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9805626337974124,0.0,0.1,C1,22,0,coco-000000019924-000000414510,0.1,156500650.66666666,0.3063670024584757,1.0,1.0,,1.0,2.2804036302333164,0.9,0.1
0.0,0.1,0.1,10,45.00001706233342,0.9803701370179125,0.0,0.1,C2,22,0,coco-000000019924-000000414510,0.1,156285883.73333332,0.30690726749415365,1.0,1.0,,1.0,3.1154077611666553,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9806273603377053,0.0,0.1,C3,22,0,coco-000000019924-000000414510,0.1,156198092.8,0.30618366612700126,1.0,1.0,,1.0,1.9192965347998325,0.9,0.1
0.0,0.1,0.1,10,45.00002511919936,0.9806520196031568,0.0,0.1,C3_NP,22,0,coco-000000019924-000000414510,0.1,156679372.8,0.3058634646519158,1.0,1.0,,1.0,2.2248072383999893,0.9,0.1
,,0.1,10,45.82719935881448,0.9885891346322117,,,B1,22,0,coco-000000022705-000000343315,0.7043619791666667,156358792.53333333,0.2956380208333333,0.7043619791666667,0.8927931776376955,13.456682803931606,0.30725606071738404,0.006642988566757896,0.0,
,,0.0,10,,,,,B2,22,0,coco-000000022705-000000343315,,156626397.86666664,,,,,,,,
0.0,0.1,0.1,10,45.000049289886874,0.9837901550810246,0.0,0.1,C0,22,0,coco-000000022705-000000343315,0.1,156725384.53333333,0.308217754991905,1.0,0.9999999999999999,,1.0,1.9442698309999589,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9838937872043584,0.0,0.1,C1,22,0,coco-000000022705-000000343315,0.1,156910387.20000002,0.30760973196618097,1.0,0.9999999999999999,,1.0,2.860583141300109,0.9,0.1
0.0,0.1,0.1,10,45.00001706233342,0.9837776556846638,0.0,0.1,C2,22,0,coco-000000022705-000000343315,0.1,156420505.6,0.3089202194639324,1.0,0.9999999999999999,,1.0,3.229190734166635,0.9,0.1
0.0,0.1,0.1,10,45.00002511919936,0.9838947944074612,0.0,0.1,C3,22,0,coco-000000022705-000000343315,0.1,156560998.40000004,0.3076388139353601,1.0,0.9999999999999999,,1.0,1.8823684085335113,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9838815506203687,0.0,0.1,C3_NP,22,0,coco-000000022705-000000343315,0.1,156474436.26666668,0.30758379804521196,1.0,0.9999999999999999,,1.0,1.987901263433135,0.9,0.1
