base_ber,base_correct_fraction,complete_recovery,condition_key,cover_stego_psnr,cover_stego_ssim,detail_ber,detail_correct_fraction,failure_stage_counts,method,observation_count,operational_failure_count,pair_id,payload_correct_fraction,peak_memory_bytes,raw_ber,raw_secret_correct_fraction,reconstruction_ncc,reconstruction_psnr,reconstruction_ssim,runtime_seconds,unknown_bit_fraction,valid_base_only_recovery
,0.0,0.0,gaussian:15,45.00000900548243,0.980379541377785,,0.0,"{""S4_HEADER_FAILURE"":3}",C0,3,0,coco-000000019924-000000414510,0.0,156939605.33333334,0.3569631828266475,,,,,2.1803066310003487,1.0,0.0
,0.0,0.0,gaussian:5,45.00000900548243,0.980379541377785,,0.0,"{""S4_HEADER_FAILURE"":3}",C0,3,0,coco-000000019924-000000414510,0.0,155381760.0,0.2635381063740481,,,,,2.051820457999687,1.0,0.0
,0.0,0.0,jpeg:50,45.000009005482426,0.980379541377785,,0.0,"{""S4_HEADER_FAILURE"":1}",C0,1,0,coco-000000019924-000000414510,0.0,155840512.0,0.47991994963122864,,,,,2.137601069000084,1.0,0.0
,0.0,0.0,jpeg:70,45.000009005482426,0.980379541377785,,0.0,"{""S4_HEADER_FAILURE"":1}",C0,1,0,coco-000000019924-000000414510,0.0,156487680.0,0.4595655693470049,,,,,2.1928691800003435,1.0,0.0
,0.0,0.0,jpeg:90,45.000009005482426,0.980379541377785,,0.0,"{""S4_HEADER_FAILURE"":1}",C0,1,0,coco-000000019924-000000414510,0.0,157339648.0,0.35599028602266597,,,,,2.102211035999062,1.0,0.0
,0.0,0.0,salt_pepper:0.01,45.00000900548243,0.980379541377785,,0.0,"{""S4_HEADER_FAILURE"":3}",C0,3,0,coco-000000019924-000000414510,0.0,156725248.0,0.15016189962223422,,,,,2.11366736666605,1.0,0.0
,0.0,0.0,salt_pepper:0.03,45.00000900548243,0.980379541377785,,0.0,"{""S4_HEADER_FAILURE"":3}",C0,3,0,coco-000000019924-000000414510,0.0,157499392.0,0.3022306170174492,,,,,1.7125450563338138,1.0,0.0
,0.0,0.0,salt_pepper:0.05,45.00000900548243,0.980379541377785,,0.0,"{""S4_HEADER_FAILURE"":3}",C0,3,0,coco-000000019924-000000414510,0.0,155219285.33333334,0.376451100317803,,,,,1.752554407666442,1.0,0.0
0.0,1.0,1.0,clean,45.000000948646374,0.9805626337974125,0.0,1.0,"{""S0_COMPLETE"":1}",C1,1,0,coco-000000019924-000000414510,1.0,156790784.0,0.005945313905378665,1.0,1.0,,1.0,3.3267717700000503,0.0,1.0
,0.0,0.0,gaussian:10,45.000000948646374,0.9805626337974124,,0.0,"{""S4_HEADER_FAILURE"":3}",C1,3,0,coco-000000019924-000000414510,0.0,158001834.66666666,0.32567458175930925,,,,,1.975509731000784,1.0,0.0
,0.0,0.0,gaussian:15,45.000000948646374,0.9805626337974124,,0.0,"{""S4_HEADER_FAILURE"":3}",C1,3,0,coco-000000019924-000000414510,0.0,156002986.66666666,0.35693619955627504,,,,,2.03134105800018,1.0,0.0
,0.0,0.0,gaussian:5,45.000000948646374,0.9805626337974124,,0.0,"{""S4_HEADER_FAILURE"":3}",C1,3,0,coco-000000019924-000000414510,0.0,156191402.66666666,0.26418120765125624,,,,,1.9830923713331383,1.0,0.0
,0.0,0.0,jpeg:50,45.000000948646374,0.9805626337974125,,0.0,"{""S4_HEADER_FAILURE"":1}",C1,1,0,coco-000000019924-000000414510,0.0,154914816.0,0.4784943335132218,,,,,2.0962958829986746,1.0,0.0
,0.0,0.0,jpeg:70,45.000000948646374,0.9805626337974125,,0.0,"{""S4_HEADER_FAILURE"":1}",C1,1,0,coco-000000019924-000000414510,0.0,155840512.0,0.4549694189602447,,,,,2.173295683000106,1.0,0.0
,0.0,0.0,jpeg:90,45.000000948646374,0.9805626337974125,,0.0,"{""S4_HEADER_FAILURE"":1}",C1,1,0,coco-000000019924-000000414510,0.0,157339648.0,0.3460964202194639,,,,,1.8972713029997976,1.0,0.0
,0.0,0.0,salt_pepper:0.01,45.000000948646374,0.9805626337974124,,0.0,"{""S4_HEADER_FAILURE"":3}",C1,3,0,coco-000000019924-000000414510,0.0,157499392.0,0.14957126581519456,,,,,1.8187268136674295,1.0,0.0
,0.0,0.0,salt_pepper:0.03,45.000000948646374,0.9805626337974124,,0.0,"{""S4_HEADER_FAILURE"":3}",C1,3,0,coco-000000019924-000000414510,0.0,155465045.33333334,0.3031255621514661,,,,,2.1070937823333225,1.0,0.0
,0.0,0.0,salt_pepper:0.05,45.000000948646374,0.9805626337974124,,0.0,"{""S4_HEADER_FAILURE"":3}",C1,3,0,coco-000000019924-000000414510,0.0,156960085.33333334,0.37867572105294717,,,,,3.3946379069996815,1.0,0.0
0.0,1.0,1.0,clean,45.00001706233342,0.9803701370179125,0.0,1.0,"{""S0_COMPLETE"":1}",C2,1,0,coco-000000019924-000000414510,1.0,155840512.0,0.005891347364633927,1.0,1.0,,1.0,3.738055951998831,0.0,1.0
,0.0,0.0,gaussian:10,45.00001706233342,0.9803701370179126,,0.0,"{""S4_HEADER_FAILURE"":3}",C2,3,0,coco-000000019924-000000414510,0.0,155891029.33333334,0.32513941356359055,,,,,3.2190553020003185,1.0,0.0
,0.0,0.0,gaussian:15,45.00001706233342,0.9803701370179126,,0.0,"{""S4_HEADER_FAILURE"":3}",C2,3,0,coco-000000019924-000000414510,0.0,157196288.0,0.3555240750734545,,,,,2.9811561246672986,1.0,0.0
,0.0,0.0,gaussian:5,45.00001706233342,0.9803701370179126,,0.0,"{""S4_HEADER_FAILURE"":3}",C2,3,0,coco-000000019924-000000414510,0.0,157261824.0,0.26290549859087364,,,,,3.3696570610009076,1.0,0.0
,0.0,0.0,jpeg:50,45.00001706233342,0.9803701370179125,,0.0,"{""S4_HEADER_FAILURE"":1}",C2,1,0,coco-000000019924-000000414510,0.0,156487680.0,0.479020507285483,,,,,3.2516436710011476,1.0,0.0
,0.0,0.0,jpeg:70,45.00001706233342,0.9803701370179125,,0.0,"{""S4_HEADER_FAILURE"":1}",C2,1,0,coco-000000019924-000000414510,0.0,156786688.0,0.4577531930203274,,,,,2.86355636999906,1.0,0.0
,0.0,0.0,jpeg:90,45.00001706233342,0.9803701370179125,,0.0,"{""S4_HEADER_FAILURE"":1}",C2,1,0,coco-000000019924-000000414510,0.0,154914816.0,0.35294117647058826,,,,,2.851733567998963,1.0,0.0
,0.0,0.0,salt_pepper:0.01,45.00001706233342,0.9803701370179126,,0.0,"{""S4_HEADER_FAILURE"":3}",C2,3,0,coco-000000019924-000000414510,0.0,155972949.33333334,0.14946183366312885,,,,,3.5376991149999717,1.0,0.0
,0.0,0.0,salt_pepper:0.03,45.00001706233342,0.9803701370179126,,0.0,"{""S4_HEADER_FAILURE"":3}",C2,3,0,coco-000000019924-000000414510,0.0,156022101.33333334,0.3036022665947113,,,,,2.7851751126672752,1.0,0.0
,0.0,0.0,salt_pepper:0.05,45.00001706233342,0.9803701370179126,,0.0,"{""S4_HEADER_FAILURE"":3}",C2,3,0,coco-000000019924-000000414510,0.0,156484949.33333334,0.3768333633147449,,,,,2.5563453353327836,1.0,0.0
0.0,1.0,1.0,clean,45.000000948646374,0.9806273603377054,0.0,1.0,"{""S0_COMPLETE"":1}",C3,1,0,coco-000000019924-000000414510,1.0,156495872.0,0.005927325058463753,1.0,1.0,,1.0,2.978248810999503,0.0,1.0
,0.0,0.0,gaussian:10,45.000000948646374,0.9806273603377053,,0.0,"{""S4_HEADER_FAILURE"":3}",C3,3,0,coco-000000019924-000000414510,0.0,156497237.33333334,0.32562211428914073,,,,,1.8303111496661586,1.0,0.0
,0.0,0.0,gaussian:15,45.000000948646374,0.9806273603377053,,0.0,"{""S4_HEADER_FAILURE"":3}",C3,3,0,coco-000000019924-000000414510,0.0,156207786.66666666,0.35623613359716977,,,,,1.783577344999988,1.0,0.0
,0.0,0.0,gaussian:5,45.000000948646374,0.9806273603377053,,0.0,"{""S4_HEADER_FAILURE"":3}",C3,3,0,coco-000000019924-000000414510,0.0,155839146.66666666,0.2645095041074534,,,,,1.7822139066671905,1.0,0.0
,0.0,0.0,jpeg:50,45.000000948646374,0.9806273603377054,,0.0,"{""S4_HEADER_FAILURE"":1}",C3,1,0,coco-000000019924-000000414510,0.0,155840512.0,0.477630868861306,,,,,1.9877764609991573,1.0,0.0
