base_ber,base_correct_fraction,channel_family,channel_instance_id,channel_severity,complete_recovery,component,condition_key,cover_stego_psnr,cover_stego_ssim,detail_ber,detail_correct_fraction,embedding_id,evaluation_id,failure_stage,header_valid,method,operational_failure,pair_id,pair_seed,payload_correct_fraction,payload_crc_valid,peak_memory_bytes,raw_ber,raw_secret_correct_fraction,realization,reconstruction_ncc,reconstruction_psnr,reconstruction_ssim,runtime_seconds,status,unknown_bit_fraction,valid_base_only_recovery,validity_state
,0.0,gaussian,gaussian_v15_r1,15,0.0,main,gaussian:15,45.000000948646374,0.9836135723644215,,0.0,784ec82a422f0912833e59bc4dfb61b47909a8af6f1d79e8d3a381ebbbe75cea,81fb0df6e72204467ddb4c53d588e22a3bb074ff891260f75e3f318d4eb2689d,S4_HEADER_FAILURE,False,C0,False,coco-000000031735-000000273715,3285510601,0.0,False,138842112.0,0.3544927145169995,,1,,,,3.415778472999591,scientific_failure,1.0,0.0,header_failure
,0.0,gaussian,gaussian_v15_r2,15,0.0,main,gaussian:15,45.000000948646374,0.9836135723644215,,0.0,784ec82a422f0912833e59bc4dfb61b47909a8af6f1d79e8d3a381ebbbe75cea,392a340f2f040790ebe9ccdec396ca660b3080e5e78d606e21122fbabaafae7e,S4_HEADER_FAILURE,False,C0,False,coco-000000031735-000000273715,2877276689,0.0,False,139276288.0,0.3533684115848174,,2,,,,3.3178991509994376,scientific_failure,1.0,0.0,header_failure
,0.0,gaussian,gaussian_v15_r3,15,0.0,main,gaussian:15,45.000000948646374,0.9836135723644215,,0.0,784ec82a422f0912833e59bc4dfb61b47909a8af6f1d79e8d3a381ebbbe75cea,19bcf01beaa4c3b604f64647afe27a995d2a36fe286e686a46f46a345e60f9f6,S4_HEADER_FAILURE,False,C0,False,coco-000000031735-000000273715,3644190891,0.0,False,139022336.0,0.3549739161719734,,3,,,,2.983721737000451,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d001_r1,0.01,0.0,main,salt_pepper:0.01,45.000000948646374,0.9836135723644215,,0.0,784ec82a422f0912833e59bc4dfb61b47909a8af6f1d79e8d3a381ebbbe75cea,7a9f6313b262746b86191be02f1c3e709d472e6d01ba0a92716041881eb02ef5,S4_HEADER_FAILURE,False,C0,False,coco-000000031735-000000273715,1318183583,0.0,False,138657792.0,0.14458085986688254,,1,,,,3.299034883000786,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d001_r2,0.01,0.0,main,salt_pepper:0.01,45.000000948646374,0.9836135723644215,,0.0,784ec82a422f0912833e59bc4dfb61b47909a8af6f1d79e8d3a381ebbbe75cea,b2f93b4c39e6c2588a7f777ffdd7ffc560876b25273f34b25e4dd8921e59c585,S4_HEADER_FAILURE,False,C0,False,coco-000000031735-000000273715,2581853466,0.0,False,138141696.0,0.14995952509444144,,2,,,,3.1820123109991982,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d001_r3,0.01,0.0,main,salt_pepper:0.01,45.000000948646374,0.9836135723644215,,0.0,784ec82a422f0912833e59bc4dfb61b47909a8af6f1d79e8d3a381ebbbe75cea,14a99d508ff0320ae8bf9c13f6d0d70b7616b400e4cf0275ec2c65275fcaf3a7,S4_HEADER_FAILURE,False,C0,False,coco-000000031735-000000273715,3142194813,0.0,False,138944512.0,0.15066558733585178,,3,,,,2.7645035440000356,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d003_r1,0.03,0.0,main,salt_pepper:0.03,45.000000948646374,0.9836135723644215,,0.0,784ec82a422f0912833e59bc4dfb61b47909a8af6f1d79e8d3a381ebbbe75cea,973db220bbf6e77de375d9e9ae6794c1c71500c992b3faf7b017e11b0f090abe,S4_HEADER_FAILURE,False,C0,False,coco-000000031735-000000273715,40448667,0.0,False,138645504.0,0.3070201475085447,,1,,,,2.305265981998673,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d003_r2,0.03,0.0,main,salt_pepper:0.03,45.000000948646374,0.9836135723644215,,0.0,784ec82a422f0912833e59bc4dfb61b47909a8af6f1d79e8d3a381ebbbe75cea,88fc391570da075389555c1fcb4d01feb75d8f9b8eb59327b2dfd70959b9958d,S4_HEADER_FAILURE,False,C0,False,coco-000000031735-000000273715,2119738064,0.0,False,138956800.0,0.3044027702824249,,2,,,,2.9718390039997757,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d003_r3,0.03,0.0,main,salt_pepper:0.03,45.000000948646374,0.9836135723644215,,0.0,784ec82a422f0912833e59bc4dfb61b47909a8af6f1d79e8d3a381ebbbe75cea,f37d67f5da5135dd5baa9ffc440e330939c206eaae4b2e6ee6487ee5b17fe590,S4_HEADER_FAILURE,False,C0,False,coco-000000031735-000000273715,2842514526,0.0,False,139464704.0,0.30618816333873,,3,,,,3.18872493300114,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d005_r1,0.05,0.0,main,salt_pepper:0.05,45.000000948646374,0.9836135723644215,,0.0,784ec82a422f0912833e59bc4dfb61b47909a8af6f1d79e8d3a381ebbbe75cea,48c6453495e7247082c82696efac71b29f183ed9b75beda6abf7c272bb4e2e4d,S4_HEADER_FAILURE,False,C0,False,coco-000000031735-000000273715,3929318423,0.0,False,138743808.0,0.3836706242129879,,1,,,,2.531541741000183,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d005_r2,0.05,0.0,main,salt_pepper:0.05,45.000000948646374,0.9836135723644215,,0.0,784ec82a422f0912833e59bc4dfb61b47909a8af6f1d79e8d3a381ebbbe75cea,4cae09ddd3d75aa917287c0746a89605c6d36ce96696ae8d23b775af7ace1943,S4_HEADER_FAILURE,False,C0,False,coco-000000031735-000000273715,2108277726,0.0,False,151207936.0,0.3831489476524555,,2,,,,2.251230250001754,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d005_r3,0.05,0.0,main,salt_pepper:0.05,45.000000948646374,0.9836135723644215,,0.0,784ec82a422f0912833e59bc4dfb61b47909a8af6f1d79e8d3a381ebbbe75cea,cf188da68f2e2f2def1021dbf5ea4eb55b8ba883480a460be62183060ec21ac8,S4_HEADER_FAILURE,False,C0,False,coco-000000031735-000000273715,3787788835,0.0,False,152027136.0,0.38250584637524737,,3,,,,1.772083310999733,scientific_failure,1.0,0.0,header_failure
0.0,1.0,clean,clean,none,1.0,main,clean,45.000009005482426,0.9839431520802406,0.0,1.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,0a121be918114326d115ee19f9466853f90a286e6e0e0190a4d8c21f9afd5aef,S0_COMPLETE,True,C1,False,coco-000000031735-000000273715,,1.0,True,151769088.0,0.002311566828566289,1.0,1,1.0,,1.0,2.799262667000221,complete,0.0,1.0,complete_valid_recovery
,0.0,jpeg,jpeg_q90,90,0.0,main,jpeg:90,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,39634cff47db741d25a71de00ff7389393f8c884c8e6b0c58beef8607d103406,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,,0.0,False,150945792.0,0.3462493254182407,,1,,,,2.239791357998911,scientific_failure,1.0,0.0,header_failure
,0.0,jpeg,jpeg_q70,70,0.0,main,jpeg:70,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,035a31d98f4d1c616875555ef26b436ca7beae450227e2e5e70e7606b79ca3b6,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,,0.0,False,151875584.0,0.4501439107753193,,1,,,,2.2346678579997388,scientific_failure,1.0,0.0,header_failure
,0.0,jpeg,jpeg_q50,50,0.0,main,jpeg:50,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,1f4050fe26fda20504b2650deaf2a2c12a5aab6c7793b47d9d2ada8b6806b0d8,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,,0.0,False,151724032.0,0.4738487137974456,,1,,,,2.0100684919998457,scientific_failure,1.0,0.0,header_failure
,0.0,gaussian,gaussian_v5_r1,5,0.0,main,gaussian:5,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,833bdee99d56e67dc81b9ea2a6f31547dd0a32d7a2a5b7a795d8af03545ddf9e,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,2241439365,0.0,False,151330816.0,0.2629834502608383,,1,,,,1.786048779000339,scientific_failure,1.0,0.0,header_failure
,0.0,gaussian,gaussian_v5_r2,5,0.0,main,gaussian:5,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,40f06510309159b938fbdf3b297a172555550a03a4437abc84a226b61373fa44,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,3977522751,0.0,False,152469504.0,0.262012052527433,,2,,,,1.7883374840002944,scientific_failure,1.0,0.0,header_failure
,0.0,gaussian,gaussian_v5_r3,5,0.0,main,gaussian:5,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,9c13a377a6d6b936a8ec8dc4904f8150557d83ee10fcbe406d0b9425140cd350,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,695476046,0.0,False,151457792.0,0.26023565389458536,,3,,,,1.8243428639998456,scientific_failure,1.0,0.0,header_failure
,0.0,gaussian,gaussian_v10_r1,10,0.0,main,gaussian:10,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,e5d8f4e10f3462b24c569884fe621bb724097b52b10d268ddfe495f1b8252ead,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,1539401660,0.0,False,151347200.0,0.32599838100377765,,1,,,,1.6250397080002585,scientific_failure,1.0,0.0,header_failure
,0.0,gaussian,gaussian_v10_r2,10,0.0,main,gaussian:10,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,2317de2f065c460eb47771ee8d4a8f8cb6a7e5822c05d864e4189d3a884153ac,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,4119123128,0.0,False,151638016.0,0.32304371289800327,,2,,,,1.8544103040003392,scientific_failure,1.0,0.0,header_failure
,0.0,gaussian,gaussian_v10_r3,10,0.0,main,gaussian:10,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,6726acfe9aa1ce6f4b738201eb73c7d455a4a76bffec15af9228c327da46f285,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,1813173395,0.0,False,150745088.0,0.32416351861845655,,3,,,,1.5779682559987123,scientific_failure,1.0,0.0,header_failure
,0.0,gaussian,gaussian_v15_r1,15,0.0,main,gaussian:15,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,217782317c328d742f7926642238f25b87803057d45784d230ce933e1dfc89cc,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,3285510601,0.0,False,150978560.0,0.355823889188703,,1,,,,1.7240758150001056,scientific_failure,1.0,0.0,header_failure
,0.0,gaussian,gaussian_v15_r2,15,0.0,main,gaussian:15,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,0b47d8e6ae0d3c9fba89ba95c3ccabaedc30c26e58cc591f8b516fa2451b48bd,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,2877276689,0.0,False,151031808.0,0.35510883252383524,,2,,,,1.615348940000331,scientific_failure,1.0,0.0,header_failure
,0.0,gaussian,gaussian_v15_r3,15,0.0,main,gaussian:15,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,fd8dc822ea43cf063efd8cf895d885e55d3ccdcf4c1bc214f4d2a743edbad16f,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,3644190891,0.0,False,151961600.0,0.3546771001978773,,3,,,,1.8559971360009513,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d001_r1,0.01,0.0,main,salt_pepper:0.01,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,efd1b69cac4b5dd3eab918a86fe450ba8edb0ec59792a1b055b753535feaacb9,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,1318183583,0.0,False,151035904.0,0.14359147328656233,,1,,,,1.803500821999478,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d001_r2,0.01,0.0,main,salt_pepper:0.01,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,ef50f73d508ce615305d84cda42eb1d0a18d7bdd7d7cfd6de96a5b51979c708b,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,2581853466,0.0,False,151093248.0,0.149024105054866,,2,,,,1.559256528998958,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d001_r3,0.01,0.0,main,salt_pepper:0.01,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,df9c0c79b4770793e282bee48f55d2c51b1032b04e62c5290538f9a2cf48adcf,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,3142194813,0.0,False,151068672.0,0.14967170354380285,,3,,,,1.428553269999611,scientific_failure,1.0,0.0,header_failure
,0.0,salt_pepper,sp_d003_r1,0.03,0.0,main,salt_pepper:0.03,45.000009005482426,0.9839431520802406,,0.0,5aa5908552a87ce2ab130aa8317beb2fbd1a04e26448002c9668554d6ed0de57,e74662699ad6ae53aad1cbeb58352b73aae381c0d93cab1f7cb5b64ee5f49d0a,S4_HEADER_FAILURE,False,C1,False,coco-000000031735-000000273715,40448667,0.0,False,150339584.0,0.3102401511063141,,1,,,,1.694696586999271,scientific_failure,1.0,0.0,header_failure
